,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,pct_change,Trend,21 moving average,34 moving average,average,std 20,std14,upperband,lowerband,open-close,low-high,5_day_rolling,5_day_rolling_std,Action
38,38,BAJFINANCE,EQ,2017-07-07,1399.3,1398.5,1403.6,1387.4,1393.0,1391.7,1395.07,202005,281811710.3,8185,75611,37.43,2017,7,-0.543128707,Slight negative,1386.1023809523804,1355.0735294117646,1389.7571428571425,17.78939676781141,17.78939676781141,1425.3359363927652,1354.1783493215198,-0.48623525205577073,1.167651722646664,0.27262102299999963,0.8902645008790693,1.0
39,39,BAJFINANCE,EQ,2017-07-10,1391.7,1451.55,1451.55,1395.1,1411.55,1412.8,1410.24,150018,211560811.1,3910,96462,64.3,2017,7,1.51613135,Positive,1388.5357142857142,1360.0926470588236,1390.6821428571427,18.669479486201414,18.669479486201414,1428.0211018295456,1353.3431838847396,-2.669560125383211,4.046304924378184,0.37120087239999966,1.0129899471984014,1.0
40,40,BAJFINANCE,EQ,2017-07-11,1412.8,1419.4,1431.0,1409.6,1422.0,1419.2,1422.27,665556,946603580.4,28991,319337,47.98,2017,7,0.453001133,No change,1390.5523809523804,1365.5470588235296,1391.367857142857,19.572239044339632,19.572239044339632,1430.5123352315366,1352.2233790541775,-0.014090460758069991,1.5181611804767376,0.5713782895999996,0.875529872523797,1.0
41,41,BAJFINANCE,EQ,2017-07-12,1419.2,1424.5,1452.0,1420.0,1452.0,1443.7,1435.9,654934,940419643.0,16957,308664,47.13,2017,7,1.72632469,Positive,1394.3023809523804,1371.9985294117646,1393.2999999999995,23.249722909845552,23.249722909845552,1439.7994458196908,1346.8005541803086,1.347841347841351,2.2535211267605635,0.6411910873999996,0.9651807892612484,1.0
42,42,BAJFINANCE,EQ,2017-07-13,1443.7,1452.0,1489.5,1450.9,1482.1,1485.9,1473.08,1011798,1490462163.0,45659,496745,49.1,2017,7,2.923044954,Positive,1399.7499999999998,1378.6764705882354,1399.3071428571427,33.99598877437205,33.99598877437205,1467.299120405887,1331.3151653083987,2.334710743801659,2.6604176717899173,1.2150746839999997,1.3173087517017004,1.0
43,43,BAJFINANCE,EQ,2017-07-14,1485.9,1485.0,1508.65,1470.65,1495.0,1499.4,1488.5,570522,849222446.0,19927,262514,46.01,2017,7,0.908540279,Slight positive,1406.340476190476,1384.0176470588235,1406.3535714285715,43.27534590487737,43.27534590487737,1492.9042632383262,1319.8028796188166,0.9696969696969757,2.5838914765579846,1.5054084811999997,0.9384062283443029,1.0
44,44,BAJFINANCE,EQ,2017-07-17,1499.4,1504.95,1549.7,1488.05,1538.55,1538.5,1525.27,947006,1444438289.0,29590,327928,34.63,2017,7,2.607709751,Positive,1412.685714285714,1390.8132352941175,1419.821428571429,52.68759419842164,52.68759419842164,1525.196616968272,1314.4462401745857,2.229309943851952,4.143005947380807,1.7237241613999994,1.0605504969074984,-1.0
45,45,BAJFINANCE,EQ,2017-07-18,1538.5,1537.95,1545.15,1507.0,1514.95,1512.35,1524.5,501708,764854066.7,24617,215197,42.89,2017,7,-1.6997075069999998,Negative,1417.5452380952381,1396.425,1429.821428571429,56.15621999347906,56.15621999347906,1542.1338685583871,1317.5089885844704,-1.6645534640267978,2.531519575315202,1.2931824333999997,1.8491474996275157,1.0
46,46,BAJFINANCE,EQ,2017-07-19,1512.35,1519.65,1577.4,1515.0,1544.0,1541.85,1548.11,2655273,4110642035.0,92367,653995,24.63,2017,7,1.950606672,Positive,1424.3071428571427,1402.7455882352938,1441.6464285714285,61.22091291847423,61.22091291847423,1564.088254408377,1319.2046027344802,1.460862698647703,4.118811881188124,1.3380388297999997,1.8649343041425785,1.0
47,47,BAJFINANCE,EQ,2017-07-20,1541.85,1551.0,1608.0,1547.1,1587.25,1595.35,1587.31,2169635,3443890632.0,71082,733445,33.8,2017,7,3.469857639,Among top gainers,1433.1523809523808,1410.6279411764706,1457.5214285714285,70.23146269050876,70.23146269050876,1597.9843539524459,1317.0585031904109,2.8594455190199812,3.9363971301144134,1.4474013667999999,1.9927698082118688,1.0
