Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,pct_change,Trend
BAJFINANCE,EQ,2018-03-07,1637.75,1641,1648.65,1606,1624.25,1618.35,1627.87,644577,1049287801,25333,257592,39.96,2018,3,-1.184551977,Negative
BAJFINANCE,EQ,2018-03-08,1618.35,1634.95,1637.9,1594.2,1628,1628.05,1617.85,663196,1072948751,29042,246663,37.19,2018,3,0.599375908,Slight positive
BAJFINANCE,EQ,2018-03-09,1628.05,1635,1667.2,1616.45,1657.9,1654.2,1654.53,839718,1389336714,29095,369681,44.02,2018,3,1.606216025,Positive
BAJFINANCE,EQ,2018-03-12,1654.2,1663,1681.9,1655.05,1664.5,1665.25,1665.45,486187,809721851.6,19018,217543,44.74,2018,3,0.667996615,Slight positive
BAJFINANCE,EQ,2018-03-13,1665.25,1665.5,1698.85,1663.6,1681,1680.7,1685.13,820802,1383160629,29990,278452,33.92,2018,3,0.92778862,Slight positive
BAJFINANCE,EQ,2018-03-14,1680.7,1672,1720.9,1668.25,1719,1710.1,1686.47,848659,1431239980,30033,466358,54.95,2018,3,1.749271137,Positive
BAJFINANCE,EQ,2018-03-15,1710.1,1715.1,1739.9,1714,1722.5,1726.25,1729.03,739187,1278074181,33108,280288,37.92,2018,3,0.944389217,Slight positive
BAJFINANCE,EQ,2018-03-16,1726.25,1712,1724.65,1681.05,1692,1687.9,1698.56,1017699,1728627616,48330,649239,63.79,2018,3,-2.221578566,Negative
BAJFINANCE,EQ,2018-03-19,1687.9,1698.9,1698.9,1627,1628,1631.85,1649.23,848984,1400168482,33762,431459,50.82,2018,3,-3.320694354,Among top losers
BAJFINANCE,EQ,2018-03-20,1631.85,1627,1663.1,1615.2,1661.9,1657.3,1641.54,1318758,2164797489,36197,658564,49.94,2018,3,1.559579618,Positive
BAJFINANCE,EQ,2018-03-21,1657.3,1674.5,1712,1665.5,1699.6,1704.55,1691.58,1131098,1913340093,41765,556969,49.24,2018,3,2.851022748,Positive
BAJFINANCE,EQ,2018-03-22,1704.55,1708,1720,1690.15,1691.2,1695.6,1706.55,1153716,1968873843,49676,603194,52.28,2018,3,-0.525065266,Slight negative
BAJFINANCE,EQ,2018-03-23,1695.6,1655,1695,1655,1686.15,1685.3,1682.47,1088426,1831240515,68840,630768,57.95,2018,3,-0.607454588,Slight negative
BAJFINANCE,EQ,2018-03-26,1685.3,1698.9,1748,1686,1744.45,1741.6,1722.91,1288984,2220806503,48148,536370,41.61,2018,3,3.340651516,Among top gainers
